i a           b           c           F           
0 -2.5625e+12 20500000  -20500000 22500
162 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
163 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
164 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
165 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
166 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
167 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
168 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
169 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
170 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
171 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
172 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
173 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
174 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
175 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
176 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
177 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
178 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
179 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
180 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
181 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
182 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
183 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
184 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
185 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
186 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
187 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
188 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
189 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
190 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
191 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
192 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
193 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
194 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
195 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
196 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
197 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
198 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
199 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
200 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
201 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
202 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
203 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
204 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
205 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
206 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
207 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
208 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
209 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
210 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
211 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
212 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
213 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
214 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
215 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
216 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
217 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
218 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
219 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
220 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
221 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
222 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
223 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
224 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
225 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
226 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
227 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
228 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
229 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
230 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
231 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
232 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
233 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
234 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
235 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
236 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
237 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
238 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
239 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
240 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
241 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
242 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
243 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
244 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
245 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
246 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
247 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
248 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
249 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
250 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
251 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
252 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
253 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
254 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
255 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
256 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
257 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
258 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
259 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
260 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
261 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
262 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
263 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
264 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
265 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
266 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
267 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
268 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
269 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
270 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
271 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
272 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
273 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
274 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
275 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
276 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
277 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
278 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
279 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
280 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
281 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
282 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
283 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
284 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
285 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
286 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
287 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
288 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
289 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
